seq,requested_external_userid,id,emp_id,external_userid,union_id,user_id,source,status,create_time
1,wmW_OgDwAAuIM86zkSnB4mGJHmuzM-Eg,9659486,2501,wmW_OgDwAAuIM86zkSnB4mGJHmuzM-Eg,oNGxt5wkOU-rp1zdRRk7qBtrfofw,3147460,1,0,2025-09-05 17:49:31
2,wmW_OgDwAA7n7bY7f5RtnaRCR0fOQy5w,13698810,4782,wmW_OgDwAA7n7bY7f5RtnaRCR0fOQy5w,oNGxt56IN9gpEBEjfHD-MXf-fDmw,3148741,1,0,2026-04-18 17:12:03
3,wmW_OgDwAArllbyIa7SZmGZKmdD5eI7w,14294451,5148,wmW_OgDwAArllbyIa7SZmGZKmdD5eI7w,oNGxt57hDtmruD8QYaWBlqL1IKh0,3196149,1,0,2026-06-05 15:59:13
4,wmW_OgDwAAVZCL74e9txr8R3R5qsacLg,14363365,5472,wmW_OgDwAAVZCL74e9txr8R3R5qsacLg,oNGxt55n_ZgoGDus1mR90L0jMYWc,1998739,1,0,2026-06-08 14:09:37
5,wmW_OgDwAANsUFwk0mkLjFORBV7sf37A,13270483,2811,wmW_OgDwAANsUFwk0mkLjFORBV7sf37A,oNGxt59t0qnJF_5KwLuQi2HL5yUc,2613604,1,0,2026-03-18 22:24:31
6,wmW_OgDwAAj5v7rGOGOdkVLNEGMGcQdA,13308398,2501,wmW_OgDwAAj5v7rGOGOdkVLNEGMGcQdA,oNGxt59qcexrO44nwOqH4uiGGfDE,3095298,1,0,2026-03-20 14:51:33
7,wmW_OgDwAAFWHQGEDAWbkXXEoulhHAxQ,14249332,2684,wmW_OgDwAAFWHQGEDAWbkXXEoulhHAxQ,oNGxt51EoO6Szv1suRxkTNYHcRbA,583002,1,0,2026-06-03 13:58:47
8,wmW_OgDwAArwqW0l0YdjO_wEGiC101Jw,13308470,2501,wmW_OgDwAArwqW0l0YdjO_wEGiC101Jw,oNGxt56x8ioXH6QefJiy5HFHBkxI,2024472,1,0,2026-03-20 14:51:33
9,wmW_OgDwAAQz950euCSqi7XMCHZ_20Eg,14280936,1857,wmW_OgDwAAQz950euCSqi7XMCHZ_20Eg,oNGxt58XZCAeyvw6cAHxrPiKsZqY,3035330,1,0,2026-06-04 20:27:45
10,wmW_OgDwAAQdMDDFLPXgSmDzCrjZHxTA,14297817,5148,wmW_OgDwAAQdMDDFLPXgSmDzCrjZHxTA,oNGxt5x3KNj1PVLXUKTRLdswAzT4,3110990,1,0,2026-06-05 16:25:53
11,wmW_OgDwAAR1HGX4XdufbI0n2tLZTk5g,13308611,2501,wmW_OgDwAAR1HGX4XdufbI0n2tLZTk5g,oNGxt55TGv45A_bUtsirIUeVJE30,3086982,1,0,2026-03-20 14:51:33
12,wmW_OgDwAAJBpSE4nuJ_7r2oxSD-3QmQ,14299040,3612,wmW_OgDwAAJBpSE4nuJ_7r2oxSD-3QmQ,oNGxt507dL6Lye6gqC1suKuw3n84,3098335,1,0,2026-06-05 17:08:27
13,wmW_OgDwAA64qpHWTfTI1_pL60LmlK1A,13308735,2501,wmW_OgDwAA64qpHWTfTI1_pL60LmlK1A,oNGxt52WLUPXTBxEyVev3b58ZKc0,3099665,1,0,2026-03-20 14:51:33
14,wmW_OgDwAAczcq7Ows9htpdEWiLLQ5KA,13392369,2505,wmW_OgDwAAczcq7Ows9htpdEWiLLQ5KA,oNGxt51obBqP2i-JYTDdWF4ZMNz8,3069674,1,0,2026-03-24 20:18:23
15,wmW_OgDwAAtDuJa6tZaB6AHa4x_q9Vqw,14380341,4781,wmW_OgDwAAtDuJa6tZaB6AHa4x_q9Vqw,oNGxt5yVBCCSqKfWt-5QAZDmbs3c,3128422,1,0,2026-06-09 16:23:37
16,wmW_OgDwAAWhDCjMTAXpcwlgUMYv5uuQ,14273663,1857,wmW_OgDwAAWhDCjMTAXpcwlgUMYv5uuQ,oNGxt58WEkfxdZ-Z9eVsR22SbleE,3095849,1,0,2026-06-04 19:28:34
17,wmW_OgDwAAOvF2RwxfaTEmTDuH44T_7Q,14295321,5148,wmW_OgDwAAOvF2RwxfaTEmTDuH44T_7Q,oNGxt50FCEIdpi78dEFD0227gJJ4,3130269,1,0,2026-06-05 16:04:39
18,wmW_OgDwAAr0hJXx9QGyswkDVlvBEcPw,14292687,5148,wmW_OgDwAAr0hJXx9QGyswkDVlvBEcPw,oNGxt5w7lXsK2gomXhDaTOhTlBrc,3030666,1,0,2026-06-05 15:46:33
19,wmW_OgDwAAvp5mjceiLRA2wmOa975jrQ,14380228,4781,wmW_OgDwAAvp5mjceiLRA2wmOa975jrQ,oNGxt561rZQnKOotBG9ouRAc4eC8,3129494,1,0,2026-06-09 16:22:49
20,wmW_OgDwAA-sG9zvrDG9CQSlu2sjME_w,13308478,2501,wmW_OgDwAA-sG9zvrDG9CQSlu2sjME_w,oNGxt581d-m2wcfFhzlpH7FTXSZY,3122680,1,0,2026-03-20 14:51:33
21,wmW_OgDwAAu0rPHic6QXENJpfIQIrmSg,13308633,2501,wmW_OgDwAAu0rPHic6QXENJpfIQIrmSg,oNGxt5yNyNtf6zwBYniLuFAy_yAE,3103323,1,0,2026-03-20 14:51:33
22,wmW_OgDwAAUkcRtSsAfAQz-4tSq0K7vQ,14294067,5148,wmW_OgDwAAUkcRtSsAfAQz-4tSq0K7vQ,oNGxt53HCCgKdGWy54qS61MWc7Qo,3141500,1,0,2026-06-05 15:57:05
